symbol,name,exchange,asset_class,status,tradable,fractionable,shortable,marginable,easy_to_borrow
AEIS,"Advanced Energy Industries, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AEP,"American Electric Power Company, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AEVA,"Aeva Technologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AFCG,Advanced Flower Capital Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AFRM,"Affirm Holdings, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AFYA,Afya Limited Class A Common Shares,NASDAQ,us_equity,active,True,True,True,True,True
AGIO,"Agios Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AGNC,AGNC Investment Corp. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AGYS,"Agilysys, Inc. Common Stock (DE)",NASDAQ,us_equity,active,True,True,True,True,True
AHCO,AdaptHealth Corp. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AIOT,"PowerFleet, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AIP,"Arteris, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AIPI,ETF Opportunities Trust REX AI Equity Premium Income ETF,NASDAQ,us_equity,active,True,True,True,True,True
AIQ,Global X Funds Global X Artificial Intelligence & Technology ETF,NASDAQ,us_equity,active,True,True,True,True,True
AIRG,"Airgain, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AKAM,"Akamai Technologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AKBA,"Akebia Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AKRO,"Akero Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALAB,"Astera Labs, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALDX,"Aldeyra Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALEC,"Alector, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALGM,"Allegro MicroSystems, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALGN,"Align Technology, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALGS,"Aligos Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALGT,Allegiant Travel Company Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ALHC,"Alignment Healthcare, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALKS,Alkermes plc Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ALKT,"Alkami Technology, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALLO,"Allogene Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALLT,Allot Ltd. Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ALMS,Alumis Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ALNT,Allient Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALRM,"Alarm.com Holdings, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALRS,Alerus Financial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ALT,"Altimmune, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALTI,"AlTi Global, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALTO,"Alto Ingredients, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ALXO,ALX Oncology Holdings Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AMAL,Amalgamated Financial Corp. Common Stock (DE),NASDAQ,us_equity,active,True,True,True,True,True
AMAT,"Applied Materials, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMBA,"Ambarella, Inc. Ordinary Shares",NASDAQ,us_equity,active,True,True,True,True,True
AMCX,AMC Networks Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AMD,"Advanced Micro Devices, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMGN,Amgen Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AMKR,"Amkor Technology, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMPH,"Amphastar Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMPL,"Amplitude, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMRK,"A-Mark Precious Metals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMSC,American Superconductor Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AMSF,"AMERISAFE, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMTX,"Aemetis, Inc. (DE) Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AMWD,American Woodmark Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AMZN,"Amazon.com, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ANAB,"AnaptysBio, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ANDE,"Andersons, Inc. (The) Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ANGI,Angi Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ANGL,VanEck Fallen Angel High Yield Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
ANGO,"AngioDynamics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ANIK,Anika Therapeutics Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ANIP,"ANI Pharmaceuticals, Inc.",NASDAQ,us_equity,active,True,True,True,True,True
ANNX,"Annexon, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AOSL,Alpha and Omega Semiconductor Limited Common Shares,NASDAQ,us_equity,active,True,True,True,True,True
AOUT,"American Outdoor Brands, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APA,APA Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
APEI,"American Public Education, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APGE,"Apogee Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
API,"Agora, Inc. American Depositary Shares",NASDAQ,us_equity,active,True,True,True,True,True
APLD,Applied Digital Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
APLS,"Apellis Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APOG,"Apogee Enterprises, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APP,Applovin Corporation Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
APPF,"AppFolio, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APPN,Appian Corporation Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
APPS,"Digital Turbine, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
APYX,Apyx Medical Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARAY,Accuray Incorporated Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARCB,ArcBest Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARCC,Ares Capital Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARDX,"Ardelyx, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARGX,argenx SE American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ARHS,"Arhaus, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARKO,ARKO Corp. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARLP,"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",NASDAQ,us_equity,active,True,True,True,True,True
ARM,Arm Holdings plc American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
AROW,Arrow Financial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARQ,"Arq, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARRY,"Array Technologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARTNA,Artesian Resources Corporation Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ARVN,"Arvinas, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ASLE,AerSale Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ASML,ASML Holding N.V. New York Registry Shares,NASDAQ,us_equity,active,True,True,True,True,True
ASND,Ascendis Pharma A/S American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ASO,"Academy Sports and Outdoors, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ASPI,ASP Isotopes Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ASPS,Altisource Portfolio Solutions S.A. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ASTE,"Astec Industries, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ASTH,Astrana Health Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ASTL,Algoma Steel Group Inc. Common Shares,NASDAQ,us_equity,active,True,True,True,True,True
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ASUR,"Asure Software, Inc Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATAI,Atai Beckley N.V Common Shares,NASDAQ,us_equity,active,True,True,True,True,True
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ATEC,"Alphatec Holdings, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATEX,Anterix Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ATHA,"Athira Pharma, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATLC,Atlanticus Holdings Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ATNI,"ATN International, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATRA,"Atara Biotherapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATRC,"AtriCure, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ATRO,Astronics Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ATXS,"Astria Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AUDC,AudioCodes Ltd. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
AUR,"Aurora Innovation, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AURA,"Aura Biosciences, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AUTL,Autolus Therapeutics plc American Depositary Share,NASDAQ,us_equity,active,True,True,True,True,True
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AVAV,"AeroVironment, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVBP,"ArriVent BioPharma, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVDL,Avadel Pharmaceuticals plc Ordinary Share,NASDAQ,us_equity,active,True,True,True,True,True
AVGO,Broadcom Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AVIR,"Atea Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVNW,"Aviat Networks, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVO,"Mission Produce, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVPT,"AvePoint, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AVT,"Avnet, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AXGN,"Axogen, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AXON,"Axon Enterprise, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AXSM,"Axsome Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AXTI,AXT Inc Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AZN,AstraZeneca PLC American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
AZTA,"Azenta, Inc.",NASDAQ,us_equity,active,True,True,True,True,True
BACQ,Inflection Point Acquisition Corp. IV Class A Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
BAND,Bandwidth Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BANF,BancFirst Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BANR,Banner Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BATRA,"Atlanta Braves Holdings, Inc. Series A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BATRK,"Atlanta Braves Holdings, Inc. Series C Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BBCP,"Concrete Pumping Holdings, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BBIO,"BridgeBio Pharma, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BBSI,"Barrett Business Services, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BCAL,California BanCorp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BCAX,Bicara Therapeutics Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BCIC,BCP Investment Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BCML,BayCom Corp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BCPC,Balchem Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BCRX,"BioCryst Pharmaceuticals, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BCYC,Bicycle Therapeutics plc American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
BDTX,"Black Diamond Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
BEAM,Beam Therapeutics Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BELFB,Bel Fuse Inc. Class B Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BFC,Bank First Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BFIN,BankFinancial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BFST,"Business First Bancshares, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BGC,"BGC Group, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BGRN,iShares Trust iShares USD Green Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BHF,"Brighthouse Financial, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BHRB,Burke & Herbert Financial Services Corp. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BIDU,"Baidu, Inc. ADS",NASDAQ,us_equity,active,True,True,True,True,True
BIIB,Biogen Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BILI,Bilibili Inc. American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
BIOA,"BioAge Labs, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BJRI,"BJ's Restaurants, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BKNG,Booking Holdings Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BKR,Baker Hughes Company Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BL,"BlackLine, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BLBD,Blue Bird Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BLDP,"Ballard Power Systems, Inc. Common Shares",NASDAQ,us_equity,active,True,True,True,True,True
BLFS,"BioLife Solutions, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BLFY,Blue Foundry Bancorp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BLKB,"Blackbaud, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BLMN,"Bloomin' Brands, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BLZE,"Backblaze, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BMBL,Bumble Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BMRC,Bank of Marin Bancorp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BMRN,BioMarin Pharmaceutical Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BND,Vanguard Total Bond Market ETF,NASDAQ,us_equity,active,True,True,True,True,True
BNDW,Vanguard Scottsdale Funds Vanguard Total World Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BNDX,Vanguard Charlotte Funds Vanguard Total International Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BNTX,BioNTech SE American Depositary Share,NASDAQ,us_equity,active,True,True,True,True,True
BOKF,BOK Financial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BOLT,"Bolt Biotherapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BOOM,DMC Global Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BOTZ,Global X Funds Global X Robotics & Artificial Intelligence ETF,NASDAQ,us_equity,active,True,True,True,True,True
BPOP,"Popular, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BRKR,Bruker Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BRRR,Coinshares Bitcoin ETF Common Shares of Beneficial Interest,NASDAQ,us_equity,active,True,True,True,True,True
BRY,Berry Corporation (bry) Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BRZE,"Braze, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BSCP,Invesco BulletShares 2025 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSCQ,Invesco BulletShares 2026 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSCR,Invesco BulletShares 2027 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSCS,Invesco BulletShares 2028 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSCT,Invesco BulletShares 2029 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSCU,Invesco Exchange-Traded Self-Indexed Fund Trust Invesco BulletShares 2030 Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSET,"Bassett Furniture Industries, Incorporated Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSJQ,Invesco BulletShares 2026 High Yield Corporate Bond ETF,NASDAQ,us_equity,active,True,True,True,True,True
BSRR,Sierra Bancorp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BSVN,Bank7 Corp. Common stock,NASDAQ,us_equity,active,True,True,True,True,True
BSY,"Bentley Systems, Incorporated Class B Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BTBT,"Bit Digital, Inc. Ordinary Shares",NASDAQ,us_equity,active,True,True,True,True,True
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
BTF,Valkyrie ETF Trust II CoinShares Bitcoin and Ether ETF,NASDAQ,us_equity,active,True,True,True,True,True
BTSG,"BrightSpring Health Services, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BUG,Global X Funds Global X Cybersecurity ETF,NASDAQ,us_equity,active,True,True,True,True,True
BUSE,First Busey Corporation Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BVS,Bioventus Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BWB,"Bridgewater Bancshares, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BWIN,"The Baldwin Insurance Group, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BWMN,Bowman Consulting Group Ltd. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
BYRN,"Byrna Technologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
BZ,KANZHUN LIMITED American Depository Shares,NASDAQ,us_equity,active,True,True,True,True,True
BZUN,Baozun Inc. American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
CAC,Camden National Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CACC,Credit Acceptance Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CAKE,Cheesecake Factory Incorporated (The) Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CALM,"Cal-Maine Foods, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CAR,"Avis Budget Group, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CARE,"Carter Bankshares, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CARG,"CarGurus, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CART,Maplebear Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CASH,"Pathward Financial, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CASS,"Cass Information Systems, Inc Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CASY,"Casey's General Stores, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CATH,Global X Funds Global X S&P 500 Catholic Values ETF,NASDAQ,us_equity,active,True,True,True,True,True
CATY,Cathay General Bancorp Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CBNK,"Capital Bancorp, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CBRL,"Cracker Barrel Old Country Store, Inc Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CBSH,"Commerce Bancshares, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CCAP,"Crescent Capital BDC, Inc. Common stock",NASDAQ,us_equity,active,True,True,True,True,True
CCB,Coastal Financial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CCBG,Capital City Bank Group Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CCCC,"C4 Therapeutics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,NASDAQ,us_equity,active,True,True,True,True,True
CCNE,CNB Financial Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
CCOI,"Cogent Communications Holdings, Inc.",NASDAQ,us_equity,active,True,True,True,True,True
CCRN,"Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value",NASDAQ,us_equity,active,True,True,True,True,True
CCSI,"Consensus Cloud Solutions, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
CDLX,"Cardlytics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
